forest_type,mean_biomass,median_biomass,mean_severity,median_severity,q25_biomass,q75_biomass,var_biomass,skew_biomass,kurt_biomass,p_normality,n_pixels,hex_ID
1,68.88732394366197,80,-3501.3240674515846,-3576.187744140625,45,100,1222.1585513078471,-0.5880374073752531,-0.9852585279856718,1.8614768702708064e-6,71,1
3,96.65,97.5,-3060.167626953125,-2836.652099609375,91.75,105.25,129.6078947368421,-0.839920497112744,0.9520845736679265,0.5419678489421567,20,1
2,91.07142857142857,94.5,-2727.2535138811386,-2762.39599609375,78.75,106.75,327.6098901098901,-0.5758014331932151,-0.5617749171314428,0.44235794501396064,14,1
1,26.923076923076923,24,-4920.5646409254805,-5072.47412109375,22,27,55.743589743589745,1.8905567033457762,3.738387724673332,0.004930845940525184,13,2
3,NA,28.5,-5162.678466796875,-5162.678466796875,27.75,29.25,NA,NA,NA,NA,2,2
1,44.142857142857146,43,-1888.7882021949404,-1859.7237548828125,35,46,287.5285714285714,0.9740047232460561,0.7257368482401289,0.022317890436654067,21,5
3,NA,46.5,-1524.8679809570312,-1524.8679809570312,44.25,48.75,NA,NA,NA,NA,2,5
3,31.322580645161292,37,-4828.088103263609,-5220.7373046875,17.5,45.5,290.69247311827957,-0.5043964868563833,-1.163525968165875,0.007541590559469854,31,6
2,26.90909090909091,29,-5257.21923828125,-5596.69482421875,9.5,43.5,355.2909090909091,-0.13049115604318706,-1.9521645163702088,0.07879331570890671,11,6
1,43.97701149425287,46,-3816.1409035167476,-3755.7650146484375,39,51,120.9705667397515,-1.4010554086266032,2.8747798565378035,5.584922856029715e-11,174,6
1,49.593607305936075,48,-4021.7355572426154,-3556.44921875,38,63.5,312.08638096435004,0.15672549103390213,-0.2855787979580318,0.025640957855086546,219,7
3,37.651162790697676,39,-3840.809612895167,-3795.00927734375,31.5,44,102.47065337763013,-0.6971449581216955,0.5935886424622399,0.07589073543376017,43,7
2,36.4,37.5,-4358.519750976562,-4248.412109375,28.25,43,70.04444444444445,-0.009268422164654802,-1.4137150882941363,0.49184096033814184,10,7
1,38.88,38,-3802.935458984375,-2996.104736328125,6,66,829.0266666666666,-0.01825664805265207,-1.613742661910325,0.013472334318460039,25,8
3,NA,21,-3208.82763671875,-3208.82763671875,21,21,NA,NA,NA,NA,2,8
1,29.4,26.5,-3350.700604248047,-3642.0313720703125,11.5,40,519.2,0.770183646055517,0.20118046932623934,0.2259929368362605,20,9
2,5.701598579040852,3,-2695.8933811221623,-2597.076171875,1,7,55.06026434391257,3.40467671756048,14.813385910491197,3.7e-24,563,9
3,19.617021276595743,14,-3161.652925531915,-2747.881591796875,8,25,270.85013876040705,1.0137563890387886,-0.1202762406834196,5.625658198657427e-6,47,9
2,10.992874109263658,7,-2174.1664217045077,-1984.55517578125,2,16,117.84994910078045,1.57556157818476,3.0158104683525386,3.7e-24,421,10
3,11.32,8,-3145.3938623046874,-2716.491455078125,5,13,113.81,2.419211001945894,7.363467362105189,9.131108029004609e-5,25,10
1,14.125,13,-3644.502914428711,-3728.5645751953125,8.5,19.5,45.267857142857146,0.30153907087706383,-1.8123443857007808,0.2832308495213377,8,10
