forest_type,severity_bin,mean_biomass,median_biomass,q25_biomass,q75_biomass,var_biomass,skew_biomass,kurt_biomass,p_normality,n_pixels,hex_ID
3,9,84.09210526315789,86,60.5,105,1301.0447368421053,0.08932767447862672,-0.15950726653604794,0.4445333121370099,76,1
2,9,85.8125,89.5,70.75,105.25,787.6468253968254,-0.4304633499026522,-0.6729182980670088,0.04367295924413912,64,1
1,9,81.84324324324324,83,56,109,1042.0676850763807,-0.18098115351548344,-0.7973159219743602,0.02353425818478716,185,1
1,8,83.53992395437263,85,56,113.5,1195.4859954140422,-0.19544606415462018,-0.9858956731358675,1.018439611949636e-5,263,1
3,7,83.8,84,68.5,101,778.204255319149,0.1560186198063393,0.11470916485106884,0.8009916313554957,95,1
2,NA,NA,131,118.5,143.5,NA,NA,NA,NA,2,1
1,NA,79,71,57,95,1377.5,0.7366678785111453,0.08974542244590822,NA,5,1
2,10-11,50.833333333333336,43.5,20.25,64.5,1864.1666666666667,1.130345856992217,1.1927629878207537,NA,6,1
3,8,85.22549019607843,85.5,69,106.75,933.4635022325762,-0.2611343509068485,-0.379736406391612,0.49155500508073063,102,1
1,10-11,69.14285714285714,64,51,88.5,700.4761904761905,0.33166241907738625,-1.3540035668055097,NA,7,1
1,7,83.1923076923077,87,62.75,107,1030.6874767744332,-0.3499107794937253,-0.4781288376444734,0.005148379081926,208,1
1,6,80.37878787878788,80.5,59.25,105,1073.9620046620046,-0.08993264569540216,-0.3633146141395021,0.8945453381677,66,1
2,8,91.0111111111111,95,76.5,107.75,598.8200998751561,-0.7410188916247384,0.8606233549676771,0.038704381894432364,90,1
2,7,85.62,89.5,65.5,107.25,1304.6077551020408,-0.4282040271859154,-0.31288796296599947,0.06922072365954735,50,1
3,6,71.52631578947368,75,60,85.75,472.850640113798,-0.6177768779439841,0.011430046864319929,0.3567384680230891,38,1
3,NA,NA,112,100.5,123.5,NA,NA,NA,NA,2,1
1,1-5,53.61538461538461,45,36,59,734.2564102564103,1.0592243726548882,-0.14559175672559807,0.021939591914466323,13,1
3,10-11,63.4,61,46,66,627.8,1.2938619170540087,1.859160480004661,NA,5,1
2,6,69.21428571428571,69.5,47.75,91.75,712.3227513227513,-0.1764044645203512,-1.003699567353235,0.4960484455071453,28,1
3,1-5,57,69,47,70,424.5,-0.95258323402127,-0.6442439928436756,0.058757156855130596,9,1
2,1-5,49.5,40.5,38.75,51.25,476.3333333333333,1.9115035872891106,3.736200203619809,NA,4,1
3,9,25.5,27.5,20,33,173.66666666666666,-0.7969849696767828,0.6383486650874408,NA,4,5
1,8,34.0625,26.5,18.75,45.75,553.2938829787234,1.194771662844948,0.9324456550918471,5.1025591022015996e-5,48,5
1,9,35.142857142857146,27,10,55,753.447004608295,0.5218596745918144,-1.1193320786690415,1.2840821723274298e-5,63,5
1,1-5,21.512820512820515,20,16,25,93.8894438894439,1.611590255353501,4.940792373602077,1.0787601752442117e-4,78,5
1,6,8.857142857142858,6,4,12.5,42.476190476190474,0.9560162630467375,-0.3604446097850353,NA,7,5
